Moisture,temp15,temp20,temp25,temp30,temp35,temp40
4,16.17,12.93,2.76,2.48,7.85,49.75
8,7.69,6.15,3.83,3.4,4.82,30.35
12,0,0,1.5,1.35,4.75,29.85
16,7.5,6,3.3,2.99,5.4,15.81
20,0,0,3.32,2.99,3.6,9.26
