Moisture,temp15,temp20,temp25,temp30,temp35,temp40
4,17.13,13.71,7.34,11.99,17.45,47.38
8,1.37,1.1,10.23,0.96,10.72,28.91
12,2.06,1.64,4.01,1.44,10.57,28.43
16,4.1,3.29,8.86,2.88,12,15.06
20,3.43,2.74,8.86,2.4,7.99,8.82
