Moisture,temp15,temp20,temp25,temp30,temp35,temp40
4,0,0,0.83,0.74,2.36,14.92
8,0,0,1.15,1.04,1.45,9.11
12,0,0,0.45,0.41,1.43,8.96
16,6.65,5.32,0.99,0.9,1.62,4.75
20,0,0,0.99,0.9,1.08,2.78
